geopixel,device_total_security_score
100_408,0.7615214233841685
100_409,0.763559027777778
100_410,0.762892864616028
100_411,0.7683531937734835
100_412,0.7571170370370375
100_413,0.7575153439153439
100_414,0.7646203703703703
100_415,0.7533628556092324
100_416,0.7652928669410148
100_417,0.7611599570585079
100_418,0.7613327721661057
100_419,0.7638695652173914
100_420,0.7641147378832839
100_421,0.7663630490956074
100_422,0.764096054511485
100_423,0.7644542648709317
100_424,0.7763931251512955
100_425,0.7660950080515295
100_426,0.7615869809203142
100_427,0.7700011795234729
100_428,0.7622113926792287
100_429,0.7609378094672213
100_430,0.7599825296995114
100_431,0.7611017669045193
100_432,0.7656673383227788
100_433,0.759742454536799
100_434,0.7578026766262063
100_435,0.7623294346978559
100_436,0.7692500765228036
100_437,0.7655682394723491
100_438,0.7598707432264477
100_439,0.766335722819594
100_440,0.7587016112157354
100_441,0.7601991614255768
100_442,0.7630877616747186
100_443,0.76995104299702
100_444,0.7688824038045827
100_445,0.7645418098510883
100_446,0.7660479986713172
100_447,0.7620695800402914
100_448,0.7673725348725348
100_449,0.7671361273554258
100_450,0.7621965991148381
100_451,0.7680902777777777
100_452,0.7577009728622632
100_453,0.7633482676224612
100_454,0.7591186122831698
100_455,0.7628009259259262
100_456,0.754777777777776
101_408,0.766532407407408
101_409,0.7607283950617288
101_410,0.7686111111111109
101_411,0.7603267672104239
101_412,0.7716571699905034
101_413,0.7622920302501455
101_414,0.7556599140577046
101_415,0.7647789043796646
101_416,0.763006712213832
101_417,0.7590266702108808
101_418,0.7583856893542759
101_419,0.7684687100893995
101_420,0.7676043296817946
101_421,0.7665108401084012
101_422,0.754852301694407
101_423,0.764704335016835
101_424,0.7643396226415086
101_425,0.7592022792022788
101_426,0.7627920227920233
101_427,0.7731656184486375
101_428,0.7655715360030081
101_429,0.7699407911312673
101_430,0.7561408199643497
101_431,0.7590863765863767
101_432,0.7703071083505866
101_433,0.7632520456503015
101_434,0.7654472819593788
101_435,0.7692592592592595
101_436,0.7656127114769089
101_437,0.7689909909909914
101_438,0.7710726495726493
101_439,0.7601125925925927
101_440,0.7645185185185182
101_441,0.7533685185185184
101_442,0.7634019204389574
101_443,0.7612610229276895
101_444,0.7710614738449788
101_445,0.7630755834204112
101_446,0.7562658382066276
101_447,0.7600342935528119
101_448,0.7612869289522988
101_449,0.7581765432098766
101_450,0.7596395724583644
101_451,0.7550293209876545
101_452,0.773896296296296
101_453,0.7622764060356654
101_454,0.7638621611302024
101_455,0.7637163876204971
101_456,0.7902777777777787
102_408,0.7606600189933521
102_409,0.7747304266291606
102_410,0.7761738351254482
102_411,0.7615351907799041
102_412,0.7576734149403642
102_413,0.7564744193345889
102_414,0.762145842340395
102_415,0.7670187148279021
102_416,0.7609525712763121
102_417,0.762571548821549
102_418,0.7657102732552605
102_419,0.752249455337691
