geopixel,auc
71_444,0.0
71_445,0.0
71_447,0.0
71_457,0.0
72_410,0.0
72_411,0.0
72_413,0.0
72_414,1.0
72_415,0.0
72_419,0.0
72_420,0.0
72_423,0.0
72_424,0.0
72_426,0.0
72_427,0.0
72_429,1.0
72_432,0.0
72_433,0.0
72_435,0.0
72_442,0.0
72_443,0.0
72_444,0.0
72_446,0.0
72_447,0.0
73_412,0.0
73_416,0.0
73_419,0.0
73_421,0.0
73_422,0.0
73_424,0.0
73_427,0.0
73_431,0.0
73_433,1.0
73_434,0.0
73_435,0.0
73_438,0.0
73_440,0.0
73_441,0.0
73_445,0.0
73_446,0.0
73_447,0.0
74_414,0.0
74_415,0.0
74_418,0.0
74_421,0.0
74_429,0.0
74_434,0.0
74_436,0.0
74_444,0.0
74_446,0.0
74_447,0.0
74_448,0.0
74_450,0.0
75_410,0.0
75_411,0.0
75_412,0.0
75_414,0.0
75_417,0.0
75_418,0.33333333333333337
75_419,0.0
75_424,0.0
75_428,0.0
75_430,0.0
75_431,0.0
75_439,0.0
75_441,0.0
75_445,0.0
75_450,0.0
75_459,0.0
76_409,0.0
76_411,0.0
76_412,0.0
76_416,0.0
76_420,0.0
76_422,0.0
76_424,0.0
76_425,0.0
76_426,0.0
76_427,0.0
76_429,0.0
76_433,0.0
76_434,0.0
76_436,0.0
76_439,0.0
76_440,0.0
76_441,0.0
76_447,0.0
76_452,0.0
77_409,0.0
77_413,0.0
77_415,0.0
77_416,0.0
77_420,0.0
77_422,0.0
77_423,0.0
77_427,0.0
77_429,0.0
77_431,0.0
77_435,0.0
77_437,0.0
77_451,0.0
78_413,0.0
78_419,0.0
78_420,0.0
78_422,0.0
78_424,0.0
78_425,0.0
78_428,0.0
78_429,0.0
78_436,0.0
78_441,0.0
78_446,0.0
78_447,0.0
78_449,0.0
78_452,0.0
78_453,0.0
79_410,0.0
79_411,0.0
79_412,0.0
79_417,0.0
79_420,0.0
79_421,0.0
79_425,0.0
79_426,0.0
79_428,0.0
79_429,0.0
79_436,0.0
79_439,0.0
79_440,0.0
79_442,0.0
79_444,0.0
79_445,0.0
79_450,0.0
79_451,0.0
80_410,0.0
80_413,0.0
80_415,1.0
80_416,0.0
80_419,0.0
80_420,0.0
80_423,0.0
80_424,0.0
80_425,0.0
80_428,0.0
80_436,0.0
80_439,0.0
80_447,0.0
80_449,0.0
80_452,0.0
81_411,0.0
81_413,0.0
81_415,0.0
81_417,0.0
81_418,0.0
81_419,0.0
81_420,0.0
81_425,0.0
81_426,0.0
81_427,0.0
81_430,0.0
81_436,0.0
81_439,0.0
81_445,0.0
81_450,0.0
81_452,0.0
82_414,0.0
82_417,0.0
82_418,0.0
82_419,0.0
82_423,0.0
82_425,1.0
82_427,0.0
82_433,0.0
82_435,0.0
82_440,0.0
82_445,0.0
82_447,0.0
82_451,0.0
82_452,0.0
83_412,0.0
83_415,0.0
83_416,0.0
83_417,0.0
83_420,0.0
83_421,0.0
83_423,0.0
83_425,0.0
83_432,0.0
83_433,0.0
83_436,0.0
83_447,0.0
83_448,0.0
83_454,0.6666666666666667
84_411,0.0
84_413,0.0
84_415,0.0
84_418,0.0
84_423,0.0
84_424,0.0
84_425,0.0
84_426,0.0
84_431,0.0
84_436,0.0
84_438,0.0
84_440,0.0
84_441,0.0
84_444,0.0
84_445,0.0
85_411,0.0
85_412,0.0
85_416,0.0
85_417,0.0
85_428,0.0
85_429,0.0
85_434,0.0
85_435,0.0
85_438,0.0
85_439,0.0
85_443,0.0
85_449,0.0
86_409,0.0
86_411,0.0
86_415,0.0
86_418,0.0
86_420,0.0
86_426,0.0
86_436,1.0
86_437,0.0
86_438,0.0
86_444,0.0
86_448,0.0
86_454,0.0
86_455,0.0
87_410,0.0
87_412,0.0
87_413,0.0
87_417,0.0
87_419,1.0
87_424,0.0
87_425,0.0
87_427,0.0
87_428,0.0
87_434,0.0
87_436,0.0
87_439,0.0
87_442,0.0
87_444,0.0
87_448,0.0
87_455,0.0
88_413,0.0
88_414,0.0
88_415,0.0
88_420,0.0
88_423,0.0
88_429,0.0
88_431,0.0
88_432,0.0
88_433,0.0
88_435,0.0
88_438,0.0
88_440,0.0
88_442,0.0
88_446,0.0
88_447,0.0
88_451,0.0
88_454,0.0
89_414,0.0
89_417,0.0
89_434,0.0
89_435,0.0
89_436,0.0
89_439,0.0
89_452,0.0
90_415,0.0
90_417,0.0
90_418,0.0
90_420,0.0
90_421,0.0
90_424,0.0
90_425,0.0
90_426,0.0
90_431,0.0
90_442,0.0
90_443,0.0
90_444,0.0
90_446,0.0
90_447,0.0
90_448,0.0
90_449,0.0
90_450,0.0
90_453,0.0
91_412,0.0
91_415,0.0
91_423,0.0
91_425,0.0
91_428,0.0
91_429,0.0
91_430,0.0
91_431,0.0
91_434,0.0
91_439,0.0
91_442,0.0
91_444,0.0
91_446,0.0
91_449,0.0
91_453,0.0
91_455,0.0
92_413,0.0
92_416,0.0
92_417,0.0
92_423,0.0
92_424,0.0
92_425,0.0
92_426,0.0
92_429,0.0
92_439,0.0
92_440,0.0
92_441,0.0
92_445,0.0
92_449,0.0
92_452,0.0
92_453,1.0
92_455,0.0
93_410,0.0
93_413,0.0
93_414,0.0
93_415,0.0
93_417,0.0
93_419,0.0
93_420,0.0
93_422,0.0
93_425,0.0
93_431,0.0
93_435,0.0
93_436,0.0
93_440,0.0
93_443,0.0
93_446,0.0
93_448,0.0
93_453,0.0
94_411,0.0
94_418,0.0
94_421,0.0
94_424,0.0
94_425,0.0
