geopixel,osi_model_layer1_security_posture_assessment,osi_model_layer2_security_posture_assessment,osi_model_layer3_security_posture_assessment,cve_css_total_score,os_os_security_assessment,score
100_436,0.495,0.7949999999999999,0.495,0.49285714285714,0.933333333333335,0
72_442,0.73,0.63,0.47,0.58285714285714,1.0,1
86_449,0.41000000000000003,0.665,0.72,0.523571428571425,0.9,1
93_428,0.82,0.62,0.46,0.49571428571429,0.73333333333333,0
99_430,0.6,0.54,0.7649999999999999,0.4685714285714251,0.8666666666666649,0
99_431,0.5449999999999999,0.6699999999999999,0.6499999999999999,0.5850000000000001,0.966666666666665,1
